Trading Pair,Open Price,Close Price,High Price,Low Price,BTC Volume,USD Volume,No of Trades,Candle Open Time,Candle Close Time
BTCUSD,102194.29,102194.29,102194.29,102194.29,0.0,0.0,0,1738381320000,1738381380000
BTCUSD,102216.88,102194.29,102216.88,102167.42,0.01894622,1936.1955010837999,23,1738381260000,1738381320000
BTCUSD,102274.24,102216.88,102274.24,102216.88,0.00373192,381.4652188096,10,1738381200000,1738381260000
BTCUSD,102274.24,102274.24,102274.24,102274.24,0.0,0.0,0,1738381140000,1738381200000
BTCUSD,102274.24,102274.24,102274.24,102274.24,0.0,0.0,0,1738381080000,1738381140000
BTCUSD,102285.73,102274.24,102285.73,102274.24,0.012,1227.29088,5,1738381020000,1738381080000
BTCUSD,102309.31,102285.73,102309.31,102285.73,0.00018008,18.4196142584,1,1738380960000,1738381020000
BTCUSD,102309.31,102309.31,102309.31,102309.31,0.0,0.0,0,1738380900000,1738380960000
BTCUSD,102337.66,102309.31,102337.66,102309.31,0.00158242,161.89629833019998,1,1738380840000,1738380900000
BTCUSD,102287.14,102337.66,102337.66,102287.14,0.76317631,78101.67773283459,100,1738380780000,1738380840000
